method,N,zone,kind,metric,mean,std,n_seeds,mean_difference,std_difference,paired_t_p,wilcoxon_p
SGD,100,None,performance,f1,0.78835,0.00528018,10,,,,
PH-SGD,100,None,performance,f1,0.783145,0.019097,10,,,,
Window-SGD,100,None,performance,f1,0.765226,0.0130731,10,,,,
PF,100,None,performance,f1,0.793695,0.00252037,10,,,,
PF,100,None,diagnostic,ess_over_N,0.741004,0.0383294,10,,,,
PF,100,None,diagnostic,weight_entropy,4.42026,0.0320713,10,,,,
PF,100,None,diagnostic,max_weight,0.0318365,0.00302184,10,,,,
PF,100,None,diagnostic,particle_spread,12.9989,4.9325,10,,,,
PF,100,None,diagnostic,unique_ancestor_rate_all,0.977315,0.00634958,10,,,,
PF,100,None,diagnostic,unique_ancestor_rate_resampled,0.61695,0.0161916,10,,,,
PF,100,None,diagnostic,resample_rate,0.0592593,0.0161441,10,,,,
WSPF-A,100,None,performance,f1,0.77038,0.0147517,10,,,,
WSPF-A,100,None,diagnostic,ess_over_N,0.0191718,0.000987369,10,,,,
WSPF-A,100,None,diagnostic,weight_entropy,0.715568,0.0722224,10,,,,
WSPF-A,100,None,diagnostic,max_weight,0.75188,0.0290095,10,,,,
WSPF-A,100,None,diagnostic,particle_spread,0.794692,0.0634743,10,,,,
WSPF-A,100,None,diagnostic,unique_ancestor_rate_all,0.0512222,0.00417074,10,,,,
WSPF-A,100,None,diagnostic,unique_ancestor_rate_resampled,0.0512222,0.00417074,10,,,,
WSPF-A,100,None,diagnostic,resample_rate,1,0,10,,,,
WSPF-B,100,None,performance,f1,0.815769,0.00733458,10,,,,
WSPF-B,100,None,diagnostic,ess_over_N,0.0120058,0.000399196,10,,,,
WSPF-B,100,None,diagnostic,weight_entropy,0.194138,0.0354187,10,,,,
WSPF-B,100,None,diagnostic,max_weight,0.922342,0.0171648,10,,,,
WSPF-B,100,None,diagnostic,particle_spread,0.00094033,2.98874e-05,10,,,,
WSPF-B,100,None,diagnostic,unique_ancestor_rate_all,0.0175185,0.00107088,10,,,,
WSPF-B,100,None,diagnostic,unique_ancestor_rate_resampled,0.0175185,0.00107088,10,,,,
WSPF-B,100,None,diagnostic,resample_rate,1,0,10,,,,
WSPF-A_vs_PF,100,None,paired,f1_paired,,,,-0.0233158,0.0154953,0.00103213,0.00390625
WSPF-B_vs_PF,100,None,paired,f1_paired,,,,0.0220739,0.00860375,1.97816e-05,0.00195312
