method,zone,sigma_cd,f1_mean,f1_std,ess_over_N,resample_rate,rho_q50,rho_q90,rho_q99,rho_max,P_rho_gt_0.9,P_rho_gt_0.99,clip_count,wspf_b_actual_clip_rate,nonfinite,rho_ge_0.999_count,wspf_a_rho_threshold_exceedance_rate
PF,None,0.001,0.794025,0.00285781,0.75416,0.0259259,None,None,None,None,None,None,None,None,None,,
PF,None,0.005,0.793695,0.00252037,0.741004,0.0592593,None,None,None,None,None,None,None,None,None,,
PF,None,0.01,0.792865,0.00400632,0.705213,0.101852,None,None,None,None,None,None,None,None,None,,
PF,None,0.025,0.795624,0.00608401,0.663614,0.209259,None,None,None,None,None,None,None,None,None,,
PF,None,0.05,0.773227,0.0126007,0.600032,0.348148,None,None,None,None,None,None,None,None,None,,
PF,None,0.075,0.743955,0.0104095,0.538746,0.440741,None,None,None,None,None,None,None,None,None,,
PF,None,0.1,0.716606,0.0157765,0.47407,0.564815,None,None,None,None,None,None,None,None,None,,
PF,None,0.125,0.694285,0.0192198,0.415858,0.651852,None,None,None,None,None,None,None,None,None,,
PF,None,0.15,0.673748,0.028523,0.359418,0.774074,None,None,None,None,None,None,None,None,None,,
PF,None,0.175,0.656459,0.0296843,0.309524,0.862963,None,None,None,None,None,None,None,None,None,,
PF,None,0.2,0.660668,0.0308352,0.277098,0.925926,None,None,None,None,None,None,None,None,None,,
WSPF-A,None,0.001,0.471344,0.0622317,0.0107525,1,0.979184,0.998101,0.999536,0.999751,0.738833,0.36813,,,0,236.6,0.0438148
WSPF-A,None,0.005,0.433038,0.074714,0.0285877,1,0.641632,0.951778,0.98782,0.993102,0.214056,0.00666667,,,0,0,0
WSPF-A,None,0.01,0.431089,0.0668884,0.0483175,1,0.312952,0.835895,0.955067,0.97628,0.0482407,0,,,0,0,0
WSPF-A,None,0.025,0.462673,0.0310256,0.0855354,1,0.0692488,0.456302,0.778575,0.885609,7.40741e-05,0,,,0,0,0
WSPF-A,None,0.05,0.47439,0.0393869,0.110569,1,0.024122,0.222078,0.546529,0.758422,0,0,,,0,0,0
WSPF-A,None,0.075,0.510297,0.028741,0.125585,1,0.0112271,0.12102,0.379542,0.67535,0,0,,,0,0,0
WSPF-A,None,0.1,0.547585,0.0434758,0.134864,1,0.00684703,0.0780197,0.274006,0.548416,0,0,,,0,0,0
WSPF-A,None,0.125,0.566723,0.0313804,0.144007,1,0.00441731,0.0512262,0.194142,0.465703,0,0,,,0,0,0
WSPF-A,None,0.15,0.571368,0.0301244,0.131106,0.996296,0.00355155,0.0420505,0.166217,0.415919,0,0,,,0,0,0
WSPF-A,None,0.175,0.584616,0.0386826,0.128768,1,0.00263414,0.031854,0.132334,0.365976,0,0,,,0,0,0
WSPF-A,None,0.2,0.583772,0.0372415,0.126016,1,0.00203909,0.0250708,0.106917,0.339779,0,0,,,0,0,0
WSPF-B,None,0.001,0.452845,0.107828,0.01,1,0.992483,0.999,0.999,0.999,0.834185,0.549259,815.8,0.151074,0,,
WSPF-B,None,0.005,0.487437,0.0663487,0.019466,1,0.832165,0.982198,0.995558,0.997483,0.3945,0.0470185,0,0,0,,
WSPF-B,None,0.01,0.42423,0.0809411,0.0389471,1,0.557594,0.933484,0.982966,0.990585,0.159185,0.00125926,0,0,0,,
WSPF-B,None,0.025,0.451352,0.0415447,0.0843035,1,0.179408,0.71127,0.910509,0.952335,0.0132222,0,0,0,0,,
WSPF-B,None,0.05,0.486131,0.0425214,0.115797,1,0.0644936,0.442132,0.770357,0.899945,0.000166667,0,0,0,0,,
WSPF-B,None,0.075,0.481244,0.0213177,0.128024,1,0.0332891,0.286974,0.631268,0.834737,0,0,0,0,0,,
WSPF-B,None,0.1,0.517462,0.0337119,0.131119,1,0.0203795,0.19987,0.522118,0.786585,0,0,0,0,0,,
WSPF-B,None,0.125,0.519393,0.0282917,0.112807,1,0.0158466,0.163146,0.463509,0.745044,0,0,0,0,0,,
WSPF-B,None,0.15,0.55774,0.0192245,0.116238,1,0.010131,0.110799,0.356131,0.649891,0,0,0,0,0,,
WSPF-B,None,0.175,0.58134,0.0314629,0.119387,1,0.0075078,0.0857459,0.299413,0.619546,0,0,0,0,0,,
WSPF-B,None,0.2,0.577056,0.0406131,0.108637,1,0.00620044,0.0726334,0.264822,0.591991,0,0,0,0,0,,
